"Time(s)"	"Absorbance (AU)"
       1.4	  -7.63865E-2
      22.0	     0.376204
      42.0	     0.363303
      62.0	     0.349871
      82.0	     0.337831
     102.0	     0.326035
     122.0	     0.314718
     142.0	     0.304727
     162.0	     0.295051
     182.0	     0.286156
     202.0	     0.277593
     222.0	     0.269695
     242.0	     0.261886
     262.0	     0.254203
     282.0	     0.247056
     302.0	     0.240118
     322.0	     0.233475
     342.0	     0.227176
     362.0	     0.220929
     382.0	     0.214623
     402.0	     0.209117
     422.0	     0.203827
     442.0	     0.197953
     462.0	     0.192914
     482.0	     0.188041
     502.0	     0.182568
     522.0	     0.178023
     542.0	     0.173363
     562.0	     0.169003
     582.0	     0.164803
     602.0	     0.160751
     622.0	     0.156634
     642.0	     0.153032
     662.0	     0.149086
     682.0	     0.145706
     702.0	     0.142062
     722.0	     0.138608
     742.0	     0.135623
     762.0	     0.132438
     782.0	     0.129271
     802.0	     0.126544
     822.0	     0.123797
     842.0	     0.120880
     862.0	     0.118126
     882.0	     0.115797
     902.0	     0.113329
     922.0	     0.110875
     942.0	     0.108750
     962.0	     0.106369
     982.0	     0.103894
    1002.0	     0.102032
    1022.0	   9.96966E-2
    1042.0	   9.80458E-2
    1062.0	   9.61947E-2
    1082.0	   9.38582E-2
    1102.0	   9.22408E-2
    1122.0	   9.05848E-2
    1142.0	   8.88033E-2
    1162.0	   8.72221E-2
    1182.0	   8.55565E-2
    1202.0	   8.39219E-2
    1222.0	   8.26044E-2
    1242.0	   8.09970E-2
    1262.0	   7.94649E-2
    1282.0	   7.80234E-2
    1302.0	   7.68437E-2
    1322.0	   7.54914E-2
    1342.0	   7.41467E-2
    1362.0	   7.28955E-2
    1382.0	   7.16119E-2
    1402.0	   7.02653E-2
    1422.0	   6.91471E-2
    1442.0	   6.80876E-2
    1462.0	   6.69513E-2
    1482.0	   6.58784E-2
    1502.0	   6.45170E-2
    1522.0	   6.36992E-2
    1542.0	   6.28595E-2
    1562.0	   6.16508E-2
    1582.0	   6.08549E-2
    1602.0	   5.96328E-2
    1622.0	   5.86381E-2
    1642.0	   5.79214E-2
    1662.0	   5.68991E-2
    1682.0	   5.60021E-2
    1702.0	   5.50733E-2
    1721.9	   5.42831E-2
    1741.9	   5.35393E-2
    1761.9	   5.29003E-2
    1781.9	   5.17688E-2
    1801.9	   5.11374E-2
    1821.9	   5.03755E-2
    1841.9	   4.94199E-2
    1861.9	   4.88172E-2
    1881.9	   4.80933E-2
    1901.9	   4.72746E-2
    1921.9	   4.66833E-2
    1941.9	   4.59461E-2
    1961.9	   4.51694E-2
    1981.9	   4.46262E-2
    2001.9	   4.37627E-2
    2021.9	   4.30913E-2
    2041.9	   4.25377E-2
    2061.9	   4.18487E-2
    2081.9	   4.12245E-2
    2101.9	   4.06442E-2
    2121.9	   4.00562E-2
    2141.9	   3.94664E-2
    2161.9	   3.89318E-2
    2181.9	   3.81799E-2
    2201.9	   3.75724E-2
    2221.9	   3.69658E-2
    2241.9	   3.65024E-2
    2261.9	   3.57866E-2
    2281.9	   3.53985E-2
    2301.9	   3.47080E-2
    2321.9	   3.43013E-2
    2341.9	   3.36185E-2
    2361.9	   3.27992E-2
    2381.9	   3.24583E-2
    2401.9	   3.20573E-2
    2421.9	   3.12905E-2
    2441.9	   3.09153E-2
    2461.9	   3.03736E-2
    2481.9	   2.99692E-2
    2501.9	   2.93956E-2
    2521.9	   2.89593E-2
    2541.9	   2.83446E-2
    2561.9	   2.80175E-2
    2581.9	   2.75578E-2
    2601.9	   2.69666E-2
    2621.9	   2.66232E-2
    2641.9	   2.59924E-2
    2661.9	   2.57607E-2
    2681.9	   2.51894E-2
