"Wavelength (nm)"	"Absorbance (AU)"	"Std.Dev."
     190.0	  -7.16805E-2	   6.93342E-2
     191.0	   6.47244E-2	   6.91362E-2
     192.0	  -1.33195E-2	   7.48760E-2
     193.0	  -1.85647E-2	   5.23168E-2
     194.0	   2.32763E-2	   6.20732E-2
     195.0	   4.54984E-2	   6.59216E-2
     196.0	   3.00355E-2	   6.20550E-2
     197.0	   6.86264E-3	   5.49680E-2
     198.0	   2.05588E-2	   6.57006E-2
     199.0	   9.47771E-2	   8.14552E-2
     200.0	   9.57184E-2	   5.99573E-2
     201.0	   3.20053E-3	   6.79220E-2
     202.0	   3.03111E-2	   6.43328E-2
     203.0	   4.35410E-2	   7.24024E-2
     204.0	  -9.43193E-2	   7.47278E-2
     205.0	   8.69617E-2	   8.29158E-2
     206.0	  -4.12846E-3	     0.116600
     207.0	   6.04868E-2	   7.99112E-2
     208.0	   5.65443E-2	   6.78974E-2
     209.0	   9.64193E-2	   5.39302E-2
     210.0	   7.13735E-2	   6.07150E-2
     211.0	   3.61304E-2	   9.54612E-2
     212.0	     0.108745	   7.70000E-2
     213.0	   1.44348E-2	   6.77269E-2
     214.0	     0.109672	   6.69070E-2
     215.0	  -1.34130E-2	   7.89492E-2
     216.0	   4.52738E-2	   6.63919E-2
     217.0	  -8.23021E-4	   4.82015E-2
     218.0	   5.65157E-2	   6.26505E-2
     219.0	   4.72574E-2	   8.56708E-2
     220.0	   3.60308E-2	   6.41454E-2
     221.0	    -0.141219	   8.84099E-2
     222.0	   8.18286E-2	   6.94613E-2
     223.0	  -5.78728E-2	   5.97970E-2
     224.0	  -6.20790E-2	   6.65712E-2
     225.0	  -6.36339E-3	   6.86291E-2
     226.0	   9.70392E-2	     0.109649
     227.0	     0.140790	   8.16613E-2
     228.0	    -0.103156	     0.105208
     229.0	     0.124219	   8.48528E-2
     230.0	  -6.36692E-2	   9.31274E-2
     231.0	   8.36267E-2	   8.55942E-2
     232.0	   2.56271E-2	   8.02387E-2
     233.0	    -0.129038	   7.30695E-2
     234.0	     0.143438	   5.94391E-2
     235.0	   9.75714E-2	   7.15661E-2
     236.0	   7.45258E-2	     0.124367
     237.0	  -9.63016E-2	     0.141349
     238.0	     0.147311	   8.06004E-2
     239.0	  -1.02067E-2	   6.61995E-2
     240.0	  -2.85683E-2	   6.79360E-2
     241.0	     0.153253	     0.100482
     242.0	  -3.66187E-2	     0.118583
     243.0	  -2.42376E-2	     0.120914
     244.0	   5.74574E-2	     0.129091
     245.0	     0.215366	   8.45206E-2
     246.0	  -2.11563E-2	   7.31999E-2
     247.0	   2.54946E-2	   6.25210E-2
     248.0	     0.179474	   8.97827E-2
     249.0	  -7.35726E-2	   7.73059E-2
     250.0	  -8.55818E-2	   5.51369E-2
     251.0	   3.77178E-2	   5.87482E-2
